Code	ObjType	sf_AltName	ShortName	sf_Enum	sf_HierIndent	Notes	f_OutputFormNum	f_OutputFormTime	f_OutputFormText
ResCentQuan	PH	Нет	Центр ресурсов [Количество]	Нет	Нет			По умолчанию	Лево
ResCentHour	PH	Нет	Центр ресурсов [Трудоёмкость]	Нет	Нет			По умолчанию	Лево
EarlyStart	PH	Нет	Начало [Раннее]	Нет	Нет			По умолчанию	Лево
EarlyFin	PH	Нет	Окончание [Раннее]	Нет	Нет			По умолчанию	Лево
MultSpend	PH	Нет	Масштабируемая	Нет	Нет			По умолчанию	Лево
f_ContinuousWork	PH	Нет	Непрерывность выполнения	Нет	Нет			По умолчанию	Лево
f_SwitchCondition	PH	Нет	Состояние переключателя	Нет	Нет			По умолчанию	Лево
Formula	PH	Нет	Формула для состояния переключателя	Нет	Нет			По умолчанию	Лево
f_BrokenLink	PH	Нет	Нарушена входящая связь по факту	Нет	Нет			По умолчанию	Лево
f_BrokenLink2	PH	Нет	Нарушена входящая связь по факту в сравниваемом проекте	Нет	Нет			По умолчанию	Лево
f_DelayReason	PH	Нет	Причина отложенности	Нет	Нет			По умолчанию	Лево
f_InterruptNotLong	PH	Нет	Ограничивать непрерывный простой	Нет	Нет			По умолчанию	Лево
f_InterruptNotLongDur	PH	Нет	Ограничивать непрерывный простой [Длительность]	Нет	Нет			По умолчанию	Лево
f_InterruptNotLongUnit	PH	Нет	Ограничивать непрерывный простой [Единица измерения]	Нет	Нет			По умолчанию	Лево
Person	PH	Нет	Менеджер	Нет	Нет			По умолчанию	Лево
f_NotedStart	PH	Нет	Уведомление о начале отослано	Нет	Нет			По умолчанию	Лево
f_NotedFin	PH	Нет	Уведомление об окончании отослано	Нет	Нет			По умолчанию	Лево
f_pln_Consum	PH	Нет	Расходы [План]	Нет	Нет			По умолчанию	Лево
f_act_Consum	PH	Нет	Расходы [Факт]	Нет	Нет			По умолчанию	Лево
f_sum_Consum	PH	Нет	Расходы [Итог]	Нет	Нет			По умолчанию	Лево
f_pln_Supply	PH	Нет	Поставки [План]	Нет	Нет			По умолчанию	Лево
f_act_Supply	PH	Нет	Поставки [Факт]	Нет	Нет			По умолчанию	Лево
f_sum_Supply	PH	Нет	Поставки [Итог]	Нет	Нет			По умолчанию	Лево
f_pln_Total	PH	Нет	Всего [План]	Нет	Нет			По умолчанию	Лево
f_act_Total	PH	Нет	Всего [Факт]	Нет	Нет			По умолчанию	Лево
f_sum_Total	PH	Нет	Всего [Итог]	Нет	Нет			По умолчанию	Лево
f_fix_Consum	PH	Нет	Расходы [Фикс]	Нет	Нет			По умолчанию	Лево
f_prf_Consum	PH	Нет	Расходы [Профиль]	Нет	Нет			По умолчанию	Лево
